Disease,Specialization
GERD,Gastroenterologist
Hyperthyroidism,Endocrinologist
Dengue,Infectious Disease Specialist
Hypoglycemia,Endocrinologist
Alcoholic hepatitis,Hepatologist
Urinary tract infection,Urologist
Hypertension,Cardiologist
Chicken pox,Infectious Disease Specialist
Common Cold,General Practitioner
Cervical spondylosis,Orthopedic Specialist
Peptic ulcer disease,Gastroenterologist
Diabetes,Endocrinologist
Acne,Dermatologist
Psoriasis,Dermatologist
Tuberculosis,Infectious Disease Specialist
Paroxysmal Positional Vertigo,ENT Specialist
Bronchial Asthma,Pulmonologist
Fungal infection,Dermatologist
Chronic cholestasis,Hepatologist
Jaundice,Hepatologist
Hypothyroidism,Endocrinologist
Hepatitis B,Hepatologist
Migraine,Neurologist
Hepatitis C,Hepatologist
Pneumonia,Pulmonologist
Typhoid,Infectious Disease Specialist
Hemorrhoids (Piles),Colorectal Surgeon
Hepatitis D,Hepatologist
Allergy,Allergist or Immunologist
Paralysis (Brain Hemorrhage),Neurologist
AIDS,Infectious Disease Specialist
Hepatitis E,Hepatologist
Drug Reaction,Dermatologist or Allergist
Gastroenteritis,Gastroenterologist
Impetigo,Dermatologist
Heart attack,Cardiologist
Hepatitis A,Hepatologist
Varicose veins,Vascular Surgeon
Arthritis,Rheumatologist
Malaria,Infectious Disease Specialist
Osteoarthritis,Orthopedic Specialist
